Customer_ID,Age,Gender,Device,Tenure_Months,Total_Spend,App_Visits,Return_Rate,Preferred_Category
18841,25,Erkek,Mobil Uygulama,15,632.47,73,0.264,Gaming Ekipmanları
28803,41,Kadın,Mobil Uygulama,32,2138.72,34,0.048,Akıllı Telefonlar
8683,41,Kadın,Masaüstü Web,37,5808.99,16,0.043,Akıllı Telefonlar
25280,21,Kadın,Mobil Uygulama,18,1088.64,48,0.152,Akıllı Telefonlar
34071,22,Kadın,Mobil Uygulama,8,1380.7,24,0.061,Akıllı Telefonlar
36558,44,Kadın,Masaüstü Web,13,1566.17,26,0.122,Akıllı Telefonlar
38190,35,Kadın,Masaüstü Web,23,1519.22,47,0.151,Akıllı Telefonlar
48150,67,Kadın,Masaüstü Web,75,87.85,3,0.021,Mobil Aksesuarlar
47916,28,Kadın,Masaüstü Web,64,112.98,6,0.019,Mobil Aksesuarlar
10802,45,Erkek,Masaüstü Web,56,5193.83,10,0.021,Premium Elektronik
39801,29,Erkek,Mobil Uygulama,30,3295.23,27,0.139,Akıllı Telefonlar
25670,26,Erkek,Mobil Uygulama,18,948.14,27,0.262,Gaming Ekipmanları
45234,66,Erkek,Mobil Uygulama,65,120.54,4,0.024,Mobil Aksesuarlar
32920,29,Erkek,Mobil Uygulama,34,2912.3,23,0.07,Akıllı Telefonlar
8135,40,Kadın,Mobil Uygulama,32,4516.91,11,0.017,Premium Elektronik
34705,44,Kadın,Mobil Uygulama,5,2111.92,30,0.159,Gaming Ekipmanları
30661,33,Kadın,Masaüstü Web,42,1698.85,24,0.101,Akıllı Telefonlar
18894,19,Erkek,Mobil Uygulama,8,734.05,79,0.256,Gaming Ekipmanları
23019,28,Erkek,Mobil Uygulama,12,966.72,41,0.209,Gaming Ekipmanları
14539,23,Erkek,Mobil Uygulama,22,745.46,75,0.288,Gaming Ekipmanları
44119,49,Erkek,Masaüstü Web,75,156.97,3,0,Mobil Aksesuarlar
37421,32,Kadın,Masaüstü Web,27,2415.23,17,0.071,Akıllı Telefonlar
10406,53,Erkek,Mobil Uygulama,68,2570.52,11,0.026,Premium Elektronik
14414,30,Erkek,Mobil Uygulama,3,745.17,36,0.273,Gaming Ekipmanları
7721,45,Erkek,Mobil Uygulama,51,3664.06,6,0.022,Premium Elektronik
16602,18,Kadın,Mobil Uygulama,19,1086.86,35,0.272,Gaming Ekipmanları
45744,44,Kadın,Mobil Uygulama,57,173.65,1,0.023,Mobil Aksesuarlar
32139,33,Erkek,Mobil Uygulama,26,2602.02,31,0.158,Akıllı Telefonlar
3730,39,Erkek,Masaüstü Web,59,4907.88,8,0.058,Premium Elektronik
39243,23,Kadın,Mobil Uygulama,19,2464.13,20,0.13,Gaming Ekipmanları
30626,43,Kadın,Mobil Uygulama,18,2853.25,23,0.216,Akıllı Telefonlar
48895,64,Kadın,Masaüstü Web,55,116.85,3,0.019,Mobil Aksesuarlar
43091,46,Kadın,Masaüstü Web,76,147.01,6,0.012,Akıllı Telefonlar
37400,41,Kadın,Masaüstü Web,7,2310.74,28,0.148,Akıllı Telefonlar
7245,38,Erkek,Mobil Uygulama,39,4052.64,16,0.041,Premium Elektronik
6546,32,Erkek,Masaüstü Web,53,4145.32,21,0.056,Premium Elektronik
5065,36,Kadın,Mobil Uygulama,74,4447.55,17,0.045,Premium Elektronik
13852,19,Erkek,Mobil Uygulama,13,816.31,42,0.291,Gaming Ekipmanları
22803,18,Erkek,Mobil Uygulama,9,643.02,53,0.211,Gaming Ekipmanları
42164,67,Erkek,Masaüstü Web,46,155.92,4,0.019,Mobil Aksesuarlar
7233,41,Erkek,Mobil Uygulama,59,5499.38,13,0.044,Premium Elektronik
4863,42,Kadın,Mobil Uygulama,48,3643.92,14,0,Premium Elektronik
36095,27,Kadın,Mobil Uygulama,27,1977.63,15,0.097,Akıllı Telefonlar
41196,58,Erkek,Masaüstü Web,58,129,5,0.01,Mobil Aksesuarlar
40251,43,Kadın,Masaüstü Web,35,2184.87,22,0.136,Akıllı Telefonlar
7218,35,Erkek,Mobil Uygulama,19,3452.82,8,0.031,Premium Elektronik
37776,45,Kadın,Masaüstü Web,19,1972.79,10,0.262,Akıllı Telefonlar
43977,63,Erkek,Mobil Uygulama,63,195.35,5,0.01,Mobil Aksesuarlar
49468,51,Kadın,Masaüstü Web,51,139.01,1,0.015,Mobil Aksesuarlar
15832,27,Kadın,Mobil Uygulama,8,906.55,72,0.204,Gaming Ekipmanları
31093,34,Erkek,Masaüstü Web,12,1100.62,24,0.141,Akıllı Telefonlar
9894,36,Kadın,Masaüstü Web,45,6663.47,18,0.011,Premium Elektronik
7021,43,Erkek,Mobil Uygulama,55,4517.86,18,0.014,Premium Elektronik
47089,42,Erkek,Mobil Uygulama,81,160,4,0.014,Mobil Aksesuarlar
16243,36,Erkek,Mobil Uygulama,11,786.03,56,0.363,Gaming Ekipmanları
46308,57,Erkek,Masaüstü Web,58,160.89,6,0.009,Akıllı Telefonlar
27551,37,Erkek,Mobil Uygulama,45,2423.12,40,0.024,Akıllı Telefonlar
7035,33,Kadın,Mobil Uygulama,65,3936.93,21,0.049,Premium Elektronik
8906,42,Erkek,Masaüstü Web,32,4631.62,12,0.027,Gaming Ekipmanları
33226,39,Kadın,Mobil Uygulama,16,1530.27,29,0.094,Akıllı Telefonlar
7018,43,Kadın,Mobil Uygulama,45,3681.05,23,0.006,Akıllı Telefonlar
22880,19,Kadın,Mobil Uygulama,7,753.76,33,0.26,Gaming Ekipmanları
3792,39,Kadın,Masaüstü Web,71,6248.14,13,0.016,Premium Elektronik
43606,80,Kadın,Masaüstü Web,97,161.89,4,0.007,Mobil Aksesuarlar
6824,49,Kadın,Mobil Uygulama,51,3118.04,22,0.023,Premium Elektronik
16388,20,Kadın,Mobil Uygulama,7,388.67,62,0.327,Gaming Ekipmanları
30562,40,Kadın,Mobil Uygulama,24,2061.77,19,0.076,Akıllı Telefonlar
40476,37,Kadın,Mobil Uygulama,22,2169.16,27,0.11,Akıllı Telefonlar
1293,38,Erkek,Masaüstü Web,62,3620.28,20,0.024,Gaming Ekipmanları
17958,21,Erkek,Mobil Uygulama,6,619.27,61,0.208,Gaming Ekipmanları
31861,41,Kadın,Mobil Uygulama,22,2738.93,26,0.084,Akıllı Telefonlar
15074,25,Kadın,Mobil Uygulama,18,982.87,73,0.322,Akıllı Telefonlar
22857,24,Erkek,Mobil Uygulama,13,797.87,50,0.35,Akıllı Telefonlar
23080,19,Erkek,Mobil Uygulama,14,780.24,57,0.224,Gaming Ekipmanları
18024,22,Erkek,Mobil Uygulama,18,477.3,44,0.266,Gaming Ekipmanları
9740,33,Kadın,Masaüstü Web,48,4543.64,15,0.026,Premium Elektronik
16826,28,Kadın,Mobil Uygulama,17,787.21,30,0.133,Gaming Ekipmanları
3742,45,Kadın,Masaüstü Web,27,6004.21,16,0.054,Mobil Aksesuarlar
19049,26,Erkek,Mobil Uygulama,11,713.51,33,0.327,Akıllı Telefonlar
50937,52,Kadın,Masaüstü Web,40,161.34,6,0.02,Akıllı Telefonlar
18373,20,Erkek,Mobil Uygulama,13,823.17,44,0.193,Gaming Ekipmanları
23022,23,Erkek,Mobil Uygulama,16,698.4,58,0.089,Gaming Ekipmanları
47365,54,Erkek,Mobil Uygulama,37,76.58,1,0.028,Mobil Aksesuarlar
24538,22,Erkek,Mobil Uygulama,22,875.27,41,0.352,Gaming Ekipmanları
46500,57,Kadın,Masaüstü Web,68,227.6,6,0.003,Gaming Ekipmanları
41186,57,Kadın,Mobil Uygulama,84,129.99,2,0.006,Gaming Ekipmanları
10614,31,Kadın,Masaüstü Web,64,4922.12,9,0.027,Premium Elektronik
44282,52,Erkek,Masaüstü Web,86,187.88,5,0,Mobil Aksesuarlar
38892,44,Erkek,Masaüstü Web,24,1557.19,39,0.084,Akıllı Telefonlar
27179,32,Kadın,Mobil Uygulama,30,2228.98,27,0.168,Mobil Aksesuarlar
46893,58,Kadın,Mobil Uygulama,60,165.81,6,0.008,Mobil Aksesuarlar
21934,28,Erkek,Masaüstü Web,6,675.13,56,0.443,Gaming Ekipmanları
41972,68,Kadın,Masaüstü Web,58,214.47,3,0.007,Mobil Aksesuarlar
23225,33,Erkek,Mobil Uygulama,6,752.92,40,0.374,Gaming Ekipmanları
25382,21,Erkek,Mobil Uygulama,8,689.93,47,0.315,Gaming Ekipmanları
35856,32,Erkek,Mobil Uygulama,23,1776.56,15,0.152,Akıllı Telefonlar
49578,55,Kadın,Masaüstü Web,70,110.94,0,0,Mobil Aksesuarlar
39537,27,Kadın,Mobil Uygulama,20,2075.23,21,0.178,Akıllı Telefonlar
32756,36,Kadın,Mobil Uygulama,23,1645.82,20,0.231,Akıllı Telefonlar
8754,38,Erkek,Masaüstü Web,45,5207.06,14,0.025,Premium Elektronik
47639,63,Erkek,Masaüstü Web,32,134.99,3,0.001,Mobil Aksesuarlar
44835,41,Erkek,Masaüstü Web,55,242.27,3,0.008,Gaming Ekipmanları
27236,35,Kadın,Masaüstü Web,29,1886.07,27,0.165,Akıllı Telefonlar
45230,40,Erkek,Masaüstü Web,57,153.16,4,0,Mobil Aksesuarlar
50597,58,Erkek,Masaüstü Web,34,136.22,3,0.016,Mobil Aksesuarlar
19553,28,Erkek,Mobil Uygulama,6,547.92,44,0.282,Gaming Ekipmanları
44137,44,Erkek,Masaüstü Web,75,162.35,5,0,Akıllı Telefonlar
37673,20,Kadın,Masaüstü Web,14,2248.81,28,0.096,Akıllı Telefonlar
44650,61,Erkek,Mobil Uygulama,63,147.41,5,0.01,Mobil Aksesuarlar
4941,44,Erkek,Masaüstü Web,38,5112.16,8,0.049,Premium Elektronik
32497,27,Kadın,Masaüstü Web,33,1656.47,36,0.111,Akıllı Telefonlar
27594,40,Erkek,Masaüstü Web,5,1969.49,33,0.194,Gaming Ekipmanları
24922,24,Erkek,Mobil Uygulama,11,910.72,42,0.272,Akıllı Telefonlar
27403,37,Erkek,Masaüstü Web,24,1610.01,35,0.207,Akıllı Telefonlar
46943,38,Erkek,Mobil Uygulama,43,121.36,6,0.001,Mobil Aksesuarlar
49526,39,Erkek,Mobil Uygulama,70,25.58,4,0,Mobil Aksesuarlar
19316,21,Kadın,Mobil Uygulama,9,1310.66,45,0.213,Gaming Ekipmanları
37894,18,Erkek,Mobil Uygulama,39,2188.89,21,0.113,Akıllı Telefonlar
27696,27,Erkek,Masaüstü Web,21,2364.83,32,0.11,Mobil Aksesuarlar
43128,60,Kadın,Masaüstü Web,60,95.38,4,0.017,Mobil Aksesuarlar
15171,21,Erkek,Mobil Uygulama,17,821.61,25,0.122,Gaming Ekipmanları
4733,30,Kadın,Masaüstü Web,48,6011.28,16,0,Premium Elektronik
8882,41,Erkek,Masaüstü Web,66,4584.89,15,0.022,Premium Elektronik
7017,55,Erkek,Masaüstü Web,48,3351.16,23,0.018,Premium Elektronik
24030,24,Kadın,Mobil Uygulama,12,960.15,47,0.14,Mobil Aksesuarlar
36474,49,Kadın,Mobil Uygulama,33,2082.82,30,0.228,Mobil Aksesuarlar
50686,39,Kadın,Masaüstü Web,59,152.09,6,0.004,Mobil Aksesuarlar
5818,37,Erkek,Mobil Uygulama,41,3735.23,9,0.062,Premium Elektronik
42694,49,Erkek,Masaüstü Web,76,88.03,3,0.013,Mobil Aksesuarlar
13008,29,Kadın,Mobil Uygulama,11,934.9,53,0.144,Akıllı Telefonlar
42328,68,Kadın,Masaüstü Web,55,101.92,6,0.013,Mobil Aksesuarlar
10507,41,Erkek,Mobil Uygulama,29,5459.58,15,0.031,Premium Elektronik
45799,43,Erkek,Masaüstü Web,74,144.69,2,0.01,Mobil Aksesuarlar
35063,35,Erkek,Mobil Uygulama,26,2582.8,17,0.159,Akıllı Telefonlar
28475,21,Kadın,Mobil Uygulama,24,2440.75,27,0.089,Akıllı Telefonlar
32144,18,Kadın,Masaüstü Web,26,2181.53,19,0.142,Gaming Ekipmanları
22236,28,Kadın,Mobil Uygulama,6,737.54,70,0.289,Gaming Ekipmanları
2391,45,Erkek,Masaüstü Web,25,3119.35,20,0.052,Mobil Aksesuarlar
39250,34,Erkek,Mobil Uygulama,33,1559.54,34,0.081,Akıllı Telefonlar
38625,34,Erkek,Mobil Uygulama,14,1695.3,32,0.08,Akıllı Telefonlar
43029,41,Erkek,Masaüstü Web,66,70.67,7,0,Mobil Aksesuarlar
21835,21,Erkek,Mobil Uygulama,19,501.7,66,0.273,Gaming Ekipmanları
15758,18,Erkek,Mobil Uygulama,14,719.61,53,0.326,Gaming Ekipmanları
27397,30,Erkek,Mobil Uygulama,19,1672.59,22,0.21,Akıllı Telefonlar
7809,40,Erkek,Mobil Uygulama,53,5484.3,5,0.061,Premium Elektronik
10226,43,Erkek,Mobil Uygulama,54,4799.2,19,0.032,Mobil Aksesuarlar
49395,46,Kadın,Masaüstü Web,56,191.34,4,0.009,Mobil Aksesuarlar
6396,47,Erkek,Mobil Uygulama,71,3851.48,2,0.031,Premium Elektronik
7944,48,Kadın,Masaüstü Web,31,4643.21,16,0.015,Premium Elektronik
24871,24,Erkek,Masaüstü Web,9,821.81,56,0.17,Premium Elektronik
33493,36,Kadın,Masaüstü Web,27,1814.56,29,0.209,Gaming Ekipmanları
37346,27,Kadın,Masaüstü Web,23,2614.47,29,0.043,Akıllı Telefonlar
11756,30,Kadın,Mobil Uygulama,19,559.35,60,0.22,Gaming Ekipmanları
13302,20,Erkek,Mobil Uygulama,20,823.04,32,0.135,Gaming Ekipmanları
49387,63,Erkek,Masaüstü Web,65,125.94,3,0.006,Mobil Aksesuarlar
43746,49,Erkek,Masaüstü Web,56,170.71,5,0,Mobil Aksesuarlar
30090,44,Erkek,Mobil Uygulama,34,1055.88,26,0.154,Gaming Ekipmanları
45713,67,Kadın,Mobil Uygulama,49,156.05,0,0.007,Mobil Aksesuarlar
15344,20,Kadın,Mobil Uygulama,8,1028.88,33,0.302,Gaming Ekipmanları
39173,37,Kadın,Mobil Uygulama,17,1772.82,25,0.112,Premium Elektronik
6072,41,Erkek,Masaüstü Web,72,5023.22,13,0.054,Premium Elektronik
25122,24,Erkek,Mobil Uygulama,4,858.18,57,0.187,Mobil Aksesuarlar
49810,41,Erkek,Masaüstü Web,44,209.95,2,0.005,Mobil Aksesuarlar
18821,22,Kadın,Mobil Uygulama,7,728.36,24,0.3,Gaming Ekipmanları
2123,46,Erkek,Mobil Uygulama,54,5157.32,13,0.029,Premium Elektronik
12265,19,Erkek,Mobil Uygulama,16,853.4,50,0.094,Akıllı Telefonlar
31580,40,Kadın,Mobil Uygulama,42,2409.72,35,0.087,Akıllı Telefonlar
46465,77,Erkek,Mobil Uygulama,61,125.13,2,0.006,Akıllı Telefonlar
49217,64,Kadın,Masaüstü Web,38,200.35,2,0,Mobil Aksesuarlar
44045,55,Kadın,Masaüstü Web,57,150.56,3,0.019,Mobil Aksesuarlar
16657,20,Erkek,Mobil Uygulama,10,602.68,40,0.383,Gaming Ekipmanları
2901,46,Kadın,Masaüstü Web,32,5132.58,16,0,Premium Elektronik
1148,34,Kadın,Mobil Uygulama,62,4349.85,9,0.005,Premium Elektronik
30643,34,Erkek,Mobil Uygulama,1,1537.26,22,0.115,Akıllı Telefonlar
4212,35,Erkek,Masaüstü Web,62,4538.08,14,0.047,Akıllı Telefonlar
44851,51,Kadın,Masaüstü Web,71,154.94,7,0.003,Mobil Aksesuarlar
3355,49,Kadın,Masaüstü Web,43,5424.36,11,0.054,Premium Elektronik
32521,45,Kadın,Masaüstü Web,26,2014.31,11,0.105,Akıllı Telefonlar
43584,63,Erkek,Masaüstü Web,60,214.39,6,0.004,Mobil Aksesuarlar
44338,38,Erkek,Masaüstü Web,78,72.63,5,0.011,Mobil Aksesuarlar
46285,48,Erkek,Masaüstü Web,67,181.2,5,0.015,Mobil Aksesuarlar
47957,56,Kadın,Masaüstü Web,47,102.37,8,0.019,Mobil Aksesuarlar
49791,60,Kadın,Masaüstü Web,76,119.8,4,0.026,Mobil Aksesuarlar
37586,46,Kadın,Mobil Uygulama,25,1469.64,25,0.203,Akıllı Telefonlar
11466,18,Erkek,Mobil Uygulama,7,759.12,53,0.249,Gaming Ekipmanları
8822,47,Erkek,Masaüstü Web,59,1946.37,19,0.021,Mobil Aksesuarlar
8206,43,Erkek,Masaüstü Web,62,4375.92,11,0,Premium Elektronik
7414,44,Kadın,Mobil Uygulama,40,2740.71,14,0.031,Gaming Ekipmanları
35047,44,Kadın,Mobil Uygulama,23,2800.65,26,0.198,Akıllı Telefonlar
13729,19,Kadın,Mobil Uygulama,14,980.64,68,0.315,Gaming Ekipmanları
7926,34,Erkek,Mobil Uygulama,54,4341.36,9,0.046,Premium Elektronik
28996,46,Erkek,Mobil Uygulama,19,1602.87,31,0.064,Akıllı Telefonlar
38613,27,Kadın,Masaüstü Web,29,2210.62,29,0.035,Akıllı Telefonlar
40484,28,Kadın,Mobil Uygulama,16,1217.43,36,0.235,Akıllı Telefonlar
4017,33,Erkek,Masaüstü Web,59,2757.95,15,0.02,Premium Elektronik
2641,42,Kadın,Mobil Uygulama,68,4867.2,21,0.028,Gaming Ekipmanları
9884,40,Kadın,Mobil Uygulama,37,3163.67,15,0.048,Premium Elektronik
38602,26,Erkek,Mobil Uygulama,23,2219.9,30,0.136,Akıllı Telefonlar
13970,20,Erkek,Mobil Uygulama,11,728.92,70,0.301,Gaming Ekipmanları
24464,19,Erkek,Mobil Uygulama,19,881.3,45,0.23,Gaming Ekipmanları
16758,22,Kadın,Mobil Uygulama,7,1124.12,6,0.265,Gaming Ekipmanları
45077,48,Kadın,Mobil Uygulama,58,178.65,6,0.018,Mobil Aksesuarlar
5087,47,Kadın,Mobil Uygulama,60,5872.75,15,0.056,Mobil Aksesuarlar
1509,42,Erkek,Mobil Uygulama,67,4992,13,0.027,Premium Elektronik
7355,30,Erkek,Masaüstü Web,48,3969.42,10,0.004,Premium Elektronik
30645,30,Kadın,Mobil Uygulama,28,2824.56,37,0.018,Akıllı Telefonlar
21816,25,Kadın,Mobil Uygulama,21,482.91,35,0.281,Gaming Ekipmanları
7235,41,Erkek,Masaüstü Web,45,3291.81,22,0.058,Premium Elektronik
32990,29,Kadın,Mobil Uygulama,12,1900.44,27,0.043,Akıllı Telefonlar
13996,18,Kadın,Mobil Uygulama,26,843.08,74,0.286,Gaming Ekipmanları
43502,57,Kadın,Masaüstü Web,71,104.91,3,0.012,Mobil Aksesuarlar
